,Songs,Artists
3814,Paint It Black,The Rolling Stones
3815,Video Games,Lana Del Rey
3816,Rehab,Amy Winehouse
3817,Rapper's Delight - Long Version,The Sugarhill Gang
3818,The Sound of Silence - Electric Version,Simon & Garfunkel
3819,Fortunate Son,Creedence Clearwater Revival
3820,Papa's Got A Brand New Bag - Pt. 1,James Brown
3821,Bridge over Troubled Water,Simon & Garfunkel
3822,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
3823,Proud Mary,Creedence Clearwater Revival
3824,Every Breath You Take - Remastered 2003,The Police
3825,Maybellene - Single Version,Chuck Berry
3826,A Whiter Shade Of Pale,Procol Harum
3827,Midnight City,M83
3828,Losing My Edge,LCD Soundsystem
3829,I'm So Lonesome I Could Cry - Single Version,Hank Williams
3830,Eight Miles High,The Byrds
3831,Born Slippy (Nuxx),Underworld
3832,Great Balls Of Fire,Jerry Lee Lewis
3833,Green Onions,Booker T. & the M.G.'s
3834,Maps,Yeah Yeah Yeahs
3835,Umbrella,Rihanna
3836,She Loves You - Remastered,The Beatles
3837,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
3838,Tangled up in Blue,Bob Dylan
3839,Maggie May,Rod Stewart
3840,Will You Still Love Me Tomorrow,The Shirelles
3841,Seasons (Waiting On You),Future Islands
3842,Creep,Radiohead
3843,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
3844,Paranoid,Black Sabbath
3845,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
3846,Kashmir - 1990 Remaster,Led Zeppelin
3847,Walk This Way (feat. Aerosmith),Run–D.M.C.
3848,Like a Prayer,Madonna
3849,Marquee Moon - 2003 Remaster,Television
3850,Hotline Bling,Drake
3851,Live Forever,Oasis
3852,Time to Pretend,MGMT
3853,When a Man Loves a Woman,Percy Sledge
3854,Brown Sugar,The Rolling Stones
3855,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
3856,Tomorrow Never Knows - Remastered,The Beatles
3857,This Land is Your Land,Woody Guthrie
3858,"Oh, Pretty Woman",Roy Orbison
3859,Jailhouse Rock,Elvis Presley
3860,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
3861,I Bet You Look Good On The Dancefloor,Arctic Monkeys
3862,Like a Virgin,Madonna
3863,Into the Groove,Madonna
3864,Let It Happen,Tame Impala
3865,Cranes in the Sky,Solange
3866,Song 2 - 2012 Remaster,Blur
3867,Purple Rain,Prince
3868,Wuthering Heights,Kate Bush
3869,Born In The U.S.A.,Bruce Springsteen
3870,Kids,MGMT
3871,"Nuthin' But A ""G"" Thang",Dr. Dre
3872,Peggy Sue - Single Version,Buddy Holly
3873,White Rabbit,Jefferson Airplane
3874,Kiss,Prince
3875,Sunday Bloody Sunday,U2
3876,Psycho Killer - 2005 Remaster,Talking Heads
3877,Tainted Love,Soft Cell
3878,Little Red Corvette,Prince
3879,Family Affair - Single Version,Sly & The Family Stone
3880,Can't Get You out of My Head,Kylie Minogue
3881,Honky Tonk Women - Mono Version,The Rolling Stones
3882,Your Best American Girl,Mitski
3883,Autobahn - 2009 Remaster,Kraftwerk
3884,My Girls,Animal Collective
3885,Eleanor Rigby - Remastered,The Beatles
3886,Get It On,T. Rex
3887,There She Goes,The La's
3888,Help! - Remastered,The Beatles
3889,House Of Jealous Lovers,The Rapture
3890,Last Nite,The Strokes
3891,Le Freak,CHIC
3892,Won't Get Fooled Again - Original Album Version,The Who
3893,In My Life - Remastered,The Beatles
3894,Hurt,Johnny Cash
3895,Ms. Jackson,Outkast
3896,Walk on By,Dionne Warwick
3897,Folsom Prison Blues,Johnny Cash
3898,Sign 'O' the Times - Single Version,Prince
3899,bad guy,Billie Eilish
3900,Heroin,The Velvet Underground
3901,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
3902,Thunder Road,Bruce Springsteen
3903,One,U2
3904,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
3905,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
3906,Yesterday - Remastered,The Beatles
3907,Dancing Queen,ABBA
3908,Summertime Blues,Eddie Cochran
3909,This Charming Man - 2011 Remaster,The Smiths
3910,Blue Suede Shoes,Carl Perkins
3911,Good Times,CHIC
3912,Pyramids,Frank Ocean
3913,My Girl - Single Version/Mono,The Temptations
3914,Paint It Black,The Rolling Stones
3915,Video Games,Lana Del Rey
3916,Rehab,Amy Winehouse
3917,Rapper's Delight - Long Version,The Sugarhill Gang
3918,The Sound of Silence - Electric Version,Simon & Garfunkel
3919,Fortunate Son,Creedence Clearwater Revival
3920,Papa's Got A Brand New Bag - Pt. 1,James Brown
3921,Bridge over Troubled Water,Simon & Garfunkel
3922,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
3923,Proud Mary,Creedence Clearwater Revival
3924,Every Breath You Take - Remastered 2003,The Police
3925,Maybellene - Single Version,Chuck Berry
3926,A Whiter Shade Of Pale,Procol Harum
3927,Midnight City,M83
3928,Losing My Edge,LCD Soundsystem
3929,I'm So Lonesome I Could Cry - Single Version,Hank Williams
3930,Eight Miles High,The Byrds
3931,Born Slippy (Nuxx),Underworld
3932,Great Balls Of Fire,Jerry Lee Lewis
3933,Green Onions,Booker T. & the M.G.'s
3934,Maps,Yeah Yeah Yeahs
3935,Umbrella,Rihanna
3936,She Loves You - Remastered,The Beatles
3937,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
3938,Tangled up in Blue,Bob Dylan
3939,Maggie May,Rod Stewart
3940,Will You Still Love Me Tomorrow,The Shirelles
3941,Seasons (Waiting On You),Future Islands
3942,Creep,Radiohead
3943,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
3944,Paranoid,Black Sabbath
3945,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
3946,Kashmir - 1990 Remaster,Led Zeppelin
3947,Walk This Way (feat. Aerosmith),Run–D.M.C.
3948,Like a Prayer,Madonna
3949,Marquee Moon - 2003 Remaster,Television
3950,Hotline Bling,Drake
3951,Live Forever,Oasis
3952,Time to Pretend,MGMT
3953,When a Man Loves a Woman,Percy Sledge
3954,Brown Sugar,The Rolling Stones
3955,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
3956,Tomorrow Never Knows - Remastered,The Beatles
3957,This Land is Your Land,Woody Guthrie
3958,"Oh, Pretty Woman",Roy Orbison
3959,Jailhouse Rock,Elvis Presley
3960,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
3961,I Bet You Look Good On The Dancefloor,Arctic Monkeys
3962,Like a Virgin,Madonna
3963,Into the Groove,Madonna
3964,Let It Happen,Tame Impala
3965,Cranes in the Sky,Solange
3966,Song 2 - 2012 Remaster,Blur
3967,Purple Rain,Prince
3968,Wuthering Heights,Kate Bush
3969,Born In The U.S.A.,Bruce Springsteen
3970,Kids,MGMT
3971,"Nuthin' But A ""G"" Thang",Dr. Dre
3972,Peggy Sue - Single Version,Buddy Holly
3973,White Rabbit,Jefferson Airplane
3974,Kiss,Prince
3975,Sunday Bloody Sunday,U2
3976,Psycho Killer - 2005 Remaster,Talking Heads
3977,Tainted Love,Soft Cell
3978,Little Red Corvette,Prince
3979,Family Affair - Single Version,Sly & The Family Stone
3980,Can't Get You out of My Head,Kylie Minogue
3981,Honky Tonk Women - Mono Version,The Rolling Stones
3982,Your Best American Girl,Mitski
3983,Autobahn - 2009 Remaster,Kraftwerk
3984,My Girls,Animal Collective
3985,Eleanor Rigby - Remastered,The Beatles
3986,Get It On,T. Rex
3987,There She Goes,The La's
3988,Help! - Remastered,The Beatles
3989,House Of Jealous Lovers,The Rapture
3990,Last Nite,The Strokes
3991,Le Freak,CHIC
3992,Won't Get Fooled Again - Original Album Version,The Who
3993,In My Life - Remastered,The Beatles
3994,Hurt,Johnny Cash
3995,Ms. Jackson,Outkast
3996,Walk on By,Dionne Warwick
3997,Folsom Prison Blues,Johnny Cash
3998,Sign 'O' the Times - Single Version,Prince
3999,bad guy,Billie Eilish
4000,Heroin,The Velvet Underground
4001,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
4002,Thunder Road,Bruce Springsteen
4003,One,U2
4004,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
4005,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
4006,Yesterday - Remastered,The Beatles
4007,Dancing Queen,ABBA
4008,Summertime Blues,Eddie Cochran
4009,This Charming Man - 2011 Remaster,The Smiths
4010,Blue Suede Shoes,Carl Perkins
4011,Good Times,CHIC
4012,Pyramids,Frank Ocean
4013,My Girl - Single Version/Mono,The Temptations
4014,Paint It Black,The Rolling Stones
4015,Video Games,Lana Del Rey
4016,Rehab,Amy Winehouse
4017,Rapper's Delight - Long Version,The Sugarhill Gang
4018,The Sound of Silence - Electric Version,Simon & Garfunkel
4019,Fortunate Son,Creedence Clearwater Revival
4020,Papa's Got A Brand New Bag - Pt. 1,James Brown
4021,Bridge over Troubled Water,Simon & Garfunkel
4022,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
4023,Proud Mary,Creedence Clearwater Revival
4024,Every Breath You Take - Remastered 2003,The Police
4025,Maybellene - Single Version,Chuck Berry
4026,A Whiter Shade Of Pale,Procol Harum
4027,Midnight City,M83
4028,Losing My Edge,LCD Soundsystem
4029,I'm So Lonesome I Could Cry - Single Version,Hank Williams
4030,Eight Miles High,The Byrds
4031,Born Slippy (Nuxx),Underworld
4032,Great Balls Of Fire,Jerry Lee Lewis
4033,Green Onions,Booker T. & the M.G.'s
4034,Maps,Yeah Yeah Yeahs
4035,Umbrella,Rihanna
4036,She Loves You - Remastered,The Beatles
4037,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
4038,Tangled up in Blue,Bob Dylan
4039,Maggie May,Rod Stewart
4040,Will You Still Love Me Tomorrow,The Shirelles
4041,Seasons (Waiting On You),Future Islands
4042,Creep,Radiohead
4043,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
4044,Paranoid,Black Sabbath
4045,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
4046,Kashmir - 1990 Remaster,Led Zeppelin
4047,Walk This Way (feat. Aerosmith),Run–D.M.C.
4048,Like a Prayer,Madonna
4049,Marquee Moon - 2003 Remaster,Television
4050,Hotline Bling,Drake
4051,Live Forever,Oasis
4052,Time to Pretend,MGMT
4053,When a Man Loves a Woman,Percy Sledge
4054,Brown Sugar,The Rolling Stones
4055,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
4056,Tomorrow Never Knows - Remastered,The Beatles
4057,This Land is Your Land,Woody Guthrie
4058,"Oh, Pretty Woman",Roy Orbison
4059,Jailhouse Rock,Elvis Presley
4060,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
4061,I Bet You Look Good On The Dancefloor,Arctic Monkeys
4062,Like a Virgin,Madonna
4063,Into the Groove,Madonna
4064,Let It Happen,Tame Impala
4065,Cranes in the Sky,Solange
4066,Song 2 - 2012 Remaster,Blur
4067,Purple Rain,Prince
4068,Wuthering Heights,Kate Bush
4069,Born In The U.S.A.,Bruce Springsteen
4070,Kids,MGMT
4071,"Nuthin' But A ""G"" Thang",Dr. Dre
4072,Peggy Sue - Single Version,Buddy Holly
4073,White Rabbit,Jefferson Airplane
4074,Kiss,Prince
4075,Sunday Bloody Sunday,U2
4076,Psycho Killer - 2005 Remaster,Talking Heads
4077,Tainted Love,Soft Cell
4078,Little Red Corvette,Prince
4079,Family Affair - Single Version,Sly & The Family Stone
4080,Can't Get You out of My Head,Kylie Minogue
4081,Honky Tonk Women - Mono Version,The Rolling Stones
4082,Your Best American Girl,Mitski
4083,Autobahn - 2009 Remaster,Kraftwerk
4084,My Girls,Animal Collective
4085,Eleanor Rigby - Remastered,The Beatles
4086,Get It On,T. Rex
4087,There She Goes,The La's
4088,Help! - Remastered,The Beatles
4089,House Of Jealous Lovers,The Rapture
4090,Last Nite,The Strokes
4091,Le Freak,CHIC
4092,Won't Get Fooled Again - Original Album Version,The Who
4093,In My Life - Remastered,The Beatles
4094,Hurt,Johnny Cash
4095,Ms. Jackson,Outkast
4096,Walk on By,Dionne Warwick
4097,Folsom Prison Blues,Johnny Cash
4098,Sign 'O' the Times - Single Version,Prince
4099,bad guy,Billie Eilish
4100,Heroin,The Velvet Underground
4101,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
4102,Thunder Road,Bruce Springsteen
4103,One,U2
4104,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
4105,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
4106,Yesterday - Remastered,The Beatles
4107,Dancing Queen,ABBA
4108,Summertime Blues,Eddie Cochran
4109,This Charming Man - 2011 Remaster,The Smiths
4110,Blue Suede Shoes,Carl Perkins
4111,Good Times,CHIC
4112,Pyramids,Frank Ocean
4113,My Girl - Single Version/Mono,The Temptations
4114,Paint It Black,The Rolling Stones
4115,Video Games,Lana Del Rey
4116,Rehab,Amy Winehouse
4117,Rapper's Delight - Long Version,The Sugarhill Gang
4118,The Sound of Silence - Electric Version,Simon & Garfunkel
4119,Fortunate Son,Creedence Clearwater Revival
4120,Papa's Got A Brand New Bag - Pt. 1,James Brown
4121,Bridge over Troubled Water,Simon & Garfunkel
4122,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
4123,Proud Mary,Creedence Clearwater Revival
4124,Every Breath You Take - Remastered 2003,The Police
4125,Maybellene - Single Version,Chuck Berry
4126,A Whiter Shade Of Pale,Procol Harum
4127,Midnight City,M83
4128,Losing My Edge,LCD Soundsystem
4129,I'm So Lonesome I Could Cry - Single Version,Hank Williams
4130,Eight Miles High,The Byrds
4131,Born Slippy (Nuxx),Underworld
4132,Great Balls Of Fire,Jerry Lee Lewis
4133,Green Onions,Booker T. & the M.G.'s
4134,Maps,Yeah Yeah Yeahs
4135,Umbrella,Rihanna
4136,She Loves You - Remastered,The Beatles
4137,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
4138,Tangled up in Blue,Bob Dylan
4139,Maggie May,Rod Stewart
4140,Will You Still Love Me Tomorrow,The Shirelles
4141,Seasons (Waiting On You),Future Islands
4142,Creep,Radiohead
4143,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
4144,Paranoid,Black Sabbath
4145,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
4146,Kashmir - 1990 Remaster,Led Zeppelin
4147,Walk This Way (feat. Aerosmith),Run–D.M.C.
4148,Like a Prayer,Madonna
4149,Marquee Moon - 2003 Remaster,Television
4150,Hotline Bling,Drake
4151,Live Forever,Oasis
4152,Time to Pretend,MGMT
4153,When a Man Loves a Woman,Percy Sledge
4154,Brown Sugar,The Rolling Stones
4155,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
4156,Tomorrow Never Knows - Remastered,The Beatles
4157,This Land is Your Land,Woody Guthrie
4158,"Oh, Pretty Woman",Roy Orbison
4159,Jailhouse Rock,Elvis Presley
4160,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
4161,I Bet You Look Good On The Dancefloor,Arctic Monkeys
4162,Like a Virgin,Madonna
4163,Into the Groove,Madonna
4164,Let It Happen,Tame Impala
4165,Cranes in the Sky,Solange
4166,Song 2 - 2012 Remaster,Blur
4167,Purple Rain,Prince
4168,Wuthering Heights,Kate Bush
4169,Born In The U.S.A.,Bruce Springsteen
4170,Kids,MGMT
4171,"Nuthin' But A ""G"" Thang",Dr. Dre
4172,Peggy Sue - Single Version,Buddy Holly
4173,White Rabbit,Jefferson Airplane
4174,Kiss,Prince
4175,Sunday Bloody Sunday,U2
4176,Psycho Killer - 2005 Remaster,Talking Heads
4177,Tainted Love,Soft Cell
4178,Little Red Corvette,Prince
4179,Family Affair - Single Version,Sly & The Family Stone
4180,Can't Get You out of My Head,Kylie Minogue
4181,Honky Tonk Women - Mono Version,The Rolling Stones
4182,Your Best American Girl,Mitski
4183,Autobahn - 2009 Remaster,Kraftwerk
4184,My Girls,Animal Collective
4185,Eleanor Rigby - Remastered,The Beatles
4186,Get It On,T. Rex
4187,There She Goes,The La's
4188,Help! - Remastered,The Beatles
4189,House Of Jealous Lovers,The Rapture
4190,Last Nite,The Strokes
4191,Le Freak,CHIC
4192,Won't Get Fooled Again - Original Album Version,The Who
4193,In My Life - Remastered,The Beatles
4194,Hurt,Johnny Cash
4195,Ms. Jackson,Outkast
4196,Walk on By,Dionne Warwick
4197,Folsom Prison Blues,Johnny Cash
4198,Sign 'O' the Times - Single Version,Prince
4199,bad guy,Billie Eilish
4200,Heroin,The Velvet Underground
4201,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
4202,Thunder Road,Bruce Springsteen
4203,One,U2
4204,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
4205,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
4206,Yesterday - Remastered,The Beatles
4207,Dancing Queen,ABBA
4208,Summertime Blues,Eddie Cochran
4209,This Charming Man - 2011 Remaster,The Smiths
4210,Blue Suede Shoes,Carl Perkins
4211,Good Times,CHIC
4212,Pyramids,Frank Ocean
4213,My Girl - Single Version/Mono,The Temptations
4214,Paint It Black,The Rolling Stones
4215,Video Games,Lana Del Rey
4216,Rehab,Amy Winehouse
4217,Rapper's Delight - Long Version,The Sugarhill Gang
4218,The Sound of Silence - Electric Version,Simon & Garfunkel
4219,Fortunate Son,Creedence Clearwater Revival
4220,Papa's Got A Brand New Bag - Pt. 1,James Brown
4221,Bridge over Troubled Water,Simon & Garfunkel
4222,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
4223,Proud Mary,Creedence Clearwater Revival
4224,Every Breath You Take - Remastered 2003,The Police
4225,Maybellene - Single Version,Chuck Berry
4226,A Whiter Shade Of Pale,Procol Harum
4227,Midnight City,M83
4228,Losing My Edge,LCD Soundsystem
4229,I'm So Lonesome I Could Cry - Single Version,Hank Williams
4230,Eight Miles High,The Byrds
4231,Born Slippy (Nuxx),Underworld
4232,Great Balls Of Fire,Jerry Lee Lewis
4233,Green Onions,Booker T. & the M.G.'s
4234,Maps,Yeah Yeah Yeahs
4235,Umbrella,Rihanna
4236,She Loves You - Remastered,The Beatles
4237,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
4238,Tangled up in Blue,Bob Dylan
4239,Maggie May,Rod Stewart
4240,Will You Still Love Me Tomorrow,The Shirelles
4241,Seasons (Waiting On You),Future Islands
4242,Creep,Radiohead
4243,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
4244,Paranoid,Black Sabbath
4245,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
4246,Kashmir - 1990 Remaster,Led Zeppelin
4247,Walk This Way (feat. Aerosmith),Run–D.M.C.
4248,Like a Prayer,Madonna
4249,Marquee Moon - 2003 Remaster,Television
4250,Hotline Bling,Drake
4251,Live Forever,Oasis
4252,Time to Pretend,MGMT
4253,When a Man Loves a Woman,Percy Sledge
4254,Brown Sugar,The Rolling Stones
4255,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
4256,Tomorrow Never Knows - Remastered,The Beatles
4257,This Land is Your Land,Woody Guthrie
4258,"Oh, Pretty Woman",Roy Orbison
4259,Jailhouse Rock,Elvis Presley
4260,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
4261,I Bet You Look Good On The Dancefloor,Arctic Monkeys
4262,Like a Virgin,Madonna
4263,Into the Groove,Madonna
4264,Let It Happen,Tame Impala
4265,Cranes in the Sky,Solange
4266,Song 2 - 2012 Remaster,Blur
4267,Purple Rain,Prince
4268,Wuthering Heights,Kate Bush
4269,Born In The U.S.A.,Bruce Springsteen
4270,Kids,MGMT
4271,"Nuthin' But A ""G"" Thang",Dr. Dre
4272,Peggy Sue - Single Version,Buddy Holly
4273,White Rabbit,Jefferson Airplane
4274,Kiss,Prince
4275,Sunday Bloody Sunday,U2
4276,Psycho Killer - 2005 Remaster,Talking Heads
4277,Tainted Love,Soft Cell
4278,Little Red Corvette,Prince
4279,Family Affair - Single Version,Sly & The Family Stone
4280,Can't Get You out of My Head,Kylie Minogue
4281,Honky Tonk Women - Mono Version,The Rolling Stones
4282,Your Best American Girl,Mitski
4283,Autobahn - 2009 Remaster,Kraftwerk
4284,My Girls,Animal Collective
4285,Eleanor Rigby - Remastered,The Beatles
4286,Get It On,T. Rex
4287,There She Goes,The La's
4288,Help! - Remastered,The Beatles
4289,House Of Jealous Lovers,The Rapture
4290,Last Nite,The Strokes
4291,Le Freak,CHIC
4292,Won't Get Fooled Again - Original Album Version,The Who
4293,In My Life - Remastered,The Beatles
4294,Hurt,Johnny Cash
4295,Ms. Jackson,Outkast
4296,Walk on By,Dionne Warwick
4297,Folsom Prison Blues,Johnny Cash
4298,Sign 'O' the Times - Single Version,Prince
4299,bad guy,Billie Eilish
4300,Heroin,The Velvet Underground
4301,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
4302,Thunder Road,Bruce Springsteen
4303,One,U2
4304,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
4305,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
4306,Yesterday - Remastered,The Beatles
4307,Dancing Queen,ABBA
4308,Summertime Blues,Eddie Cochran
4309,This Charming Man - 2011 Remaster,The Smiths
4310,Blue Suede Shoes,Carl Perkins
4311,Good Times,CHIC
4312,Pyramids,Frank Ocean
4313,My Girl - Single Version/Mono,The Temptations
4314,Paint It Black,The Rolling Stones
4315,Video Games,Lana Del Rey
4316,Rehab,Amy Winehouse
4317,Rapper's Delight - Long Version,The Sugarhill Gang
4318,The Sound of Silence - Electric Version,Simon & Garfunkel
4319,Fortunate Son,Creedence Clearwater Revival
4320,Papa's Got A Brand New Bag - Pt. 1,James Brown
4321,Bridge over Troubled Water,Simon & Garfunkel
4322,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
4323,Proud Mary,Creedence Clearwater Revival
4324,Every Breath You Take - Remastered 2003,The Police
4325,Maybellene - Single Version,Chuck Berry
4326,A Whiter Shade Of Pale,Procol Harum
4327,Midnight City,M83
4328,Losing My Edge,LCD Soundsystem
4329,I'm So Lonesome I Could Cry - Single Version,Hank Williams
4330,Eight Miles High,The Byrds
4331,Born Slippy (Nuxx),Underworld
4332,Great Balls Of Fire,Jerry Lee Lewis
4333,Green Onions,Booker T. & the M.G.'s
4334,Maps,Yeah Yeah Yeahs
4335,Umbrella,Rihanna
4336,She Loves You - Remastered,The Beatles
4337,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
4338,Tangled up in Blue,Bob Dylan
4339,Maggie May,Rod Stewart
4340,Will You Still Love Me Tomorrow,The Shirelles
4341,Seasons (Waiting On You),Future Islands
4342,Creep,Radiohead
4343,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
4344,Paranoid,Black Sabbath
4345,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
4346,Kashmir - 1990 Remaster,Led Zeppelin
4347,Walk This Way (feat. Aerosmith),Run–D.M.C.
4348,Like a Prayer,Madonna
4349,Marquee Moon - 2003 Remaster,Television
4350,Hotline Bling,Drake
4351,Live Forever,Oasis
4352,Time to Pretend,MGMT
4353,When a Man Loves a Woman,Percy Sledge
4354,Brown Sugar,The Rolling Stones
4355,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
4356,Tomorrow Never Knows - Remastered,The Beatles
4357,This Land is Your Land,Woody Guthrie
4358,"Oh, Pretty Woman",Roy Orbison
4359,Jailhouse Rock,Elvis Presley
4360,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
4361,I Bet You Look Good On The Dancefloor,Arctic Monkeys
4362,Like a Virgin,Madonna
4363,Into the Groove,Madonna
4364,Let It Happen,Tame Impala
4365,Cranes in the Sky,Solange
4366,Song 2 - 2012 Remaster,Blur
4367,Purple Rain,Prince
4368,Wuthering Heights,Kate Bush
4369,Born In The U.S.A.,Bruce Springsteen
4370,Kids,MGMT
4371,"Nuthin' But A ""G"" Thang",Dr. Dre
4372,Peggy Sue - Single Version,Buddy Holly
4373,White Rabbit,Jefferson Airplane
4374,Kiss,Prince
4375,Sunday Bloody Sunday,U2
4376,Psycho Killer - 2005 Remaster,Talking Heads
4377,Tainted Love,Soft Cell
4378,Little Red Corvette,Prince
4379,Family Affair - Single Version,Sly & The Family Stone
4380,Can't Get You out of My Head,Kylie Minogue
4381,Honky Tonk Women - Mono Version,The Rolling Stones
4382,Your Best American Girl,Mitski
4383,Autobahn - 2009 Remaster,Kraftwerk
4384,My Girls,Animal Collective
4385,Eleanor Rigby - Remastered,The Beatles
4386,Get It On,T. Rex
4387,There She Goes,The La's
4388,Help! - Remastered,The Beatles
4389,House Of Jealous Lovers,The Rapture
4390,Last Nite,The Strokes
4391,Le Freak,CHIC
4392,Won't Get Fooled Again - Original Album Version,The Who
4393,In My Life - Remastered,The Beatles
4394,Hurt,Johnny Cash
4395,Ms. Jackson,Outkast
4396,Walk on By,Dionne Warwick
4397,Folsom Prison Blues,Johnny Cash
4398,Sign 'O' the Times - Single Version,Prince
4399,bad guy,Billie Eilish
4400,Heroin,The Velvet Underground
4401,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
4402,Thunder Road,Bruce Springsteen
4403,One,U2
4404,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
4405,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
4406,Yesterday - Remastered,The Beatles
4407,Dancing Queen,ABBA
4408,Summertime Blues,Eddie Cochran
4409,This Charming Man - 2011 Remaster,The Smiths
4410,Blue Suede Shoes,Carl Perkins
4411,Good Times,CHIC
4412,Pyramids,Frank Ocean
4413,My Girl - Single Version/Mono,The Temptations
4414,Paint It Black,The Rolling Stones
4415,Video Games,Lana Del Rey
4416,Rehab,Amy Winehouse
4417,Rapper's Delight - Long Version,The Sugarhill Gang
4418,The Sound of Silence - Electric Version,Simon & Garfunkel
4419,Fortunate Son,Creedence Clearwater Revival
4420,Papa's Got A Brand New Bag - Pt. 1,James Brown
4421,Bridge over Troubled Water,Simon & Garfunkel
4422,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
4423,Proud Mary,Creedence Clearwater Revival
4424,Every Breath You Take - Remastered 2003,The Police
4425,Maybellene - Single Version,Chuck Berry
4426,A Whiter Shade Of Pale,Procol Harum
4427,Midnight City,M83
4428,Losing My Edge,LCD Soundsystem
4429,I'm So Lonesome I Could Cry - Single Version,Hank Williams
4430,Eight Miles High,The Byrds
4431,Born Slippy (Nuxx),Underworld
4432,Great Balls Of Fire,Jerry Lee Lewis
4433,Green Onions,Booker T. & the M.G.'s
4434,Maps,Yeah Yeah Yeahs
4435,Umbrella,Rihanna
4436,She Loves You - Remastered,The Beatles
4437,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
4438,Tangled up in Blue,Bob Dylan
4439,Maggie May,Rod Stewart
4440,Will You Still Love Me Tomorrow,The Shirelles
4441,Seasons (Waiting On You),Future Islands
4442,Creep,Radiohead
4443,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
4444,Paranoid,Black Sabbath
4445,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
4446,Kashmir - 1990 Remaster,Led Zeppelin
4447,Walk This Way (feat. Aerosmith),Run–D.M.C.
4448,Like a Prayer,Madonna
4449,Marquee Moon - 2003 Remaster,Television
4450,Hotline Bling,Drake
4451,Live Forever,Oasis
4452,Time to Pretend,MGMT
4453,When a Man Loves a Woman,Percy Sledge
4454,Brown Sugar,The Rolling Stones
4455,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
