,Danceability,Key,Loudness,Speechiness,Instrumentalness,Liveness,Valence,Tempo
279,0.819,2,-13.83,0.132,0.0163,0.199,0.797,108.892
280,0.766,9,-7.516,0.0339,0.683,0.115,0.964,126.007
281,0.558,7,-8.521,0.0621,0.0144,0.0838,0.963,120.435
282,0.36,7,-9.655,0.0315,0.00512,0.226,0.13,76.972
283,0.333,2,-15.606,0.0366,0.872,0.129,0.113,81.681
284,0.511,4,-6.057,0.0811,0.0514,0.902,0.537,119.973
285,0.581,4,-9.091,0.0381,1.56e-05,0.305,0.813,137.831
286,0.73,2,-6.818,0.0601,0.759,0.222,0.903,126.431
287,0.533,7,-10.632,0.0298,0.829,0.207,0.917,122.777
288,0.534,6,-7.576,0.0332,0.0,0.0994,0.763,95.003
289,0.729,1,-4.277,0.0354,0.368,0.308,0.763,130.007
290,0.624,0,-5.703,0.0297,0.000198,0.0789,0.767,104.042
291,0.867,7,-7.445,0.0475,0.0,0.123,0.933,118.616
292,0.686,2,-6.231,0.0566,0.27,0.0807,0.225,135.027
293,0.688,9,-11.359,0.0323,0.0,0.113,0.435,103.239
294,0.536,9,-7.717,0.0263,0.000906,0.0841,0.146,90.32
295,0.843,4,-5.946,0.269,0.0,0.0771,0.613,94.948
296,0.687,5,-6.273,0.0298,4.98e-05,0.0796,0.623,98.967
297,0.726,5,-11.702,0.0269,6.19e-05,0.0909,0.846,99.998
298,0.825,10,-10.875,0.0771,0.000905,0.0609,0.62,98.94
299,0.701,7,-10.965,0.375,0.13,0.1,0.562,135.128
300,0.41,2,-8.07,0.0426,0.0,0.197,0.555,134.991
301,0.854,5,-6.159,0.137,0.0,0.354,0.549,120.024
302,0.38,2,-20.567,0.0509,2.32e-05,0.0605,0.44,174.874
303,0.863,10,-14.34,0.0464,0.00103,0.109,0.744,105.766
304,0.496,7,-10.991,0.0353,0.0,0.332,0.899,148.882
305,0.534,11,-9.801,0.0272,0.0,0.0983,0.712,136.895
306,0.915,6,-9.636,0.13,0.000122,0.201,0.708,127.35
307,0.57,10,-15.559,0.033,0.0,0.0766,0.346,70.062
308,0.807,0,-5.808,0.0487,0.0,0.334,0.617,105.677
309,0.576,4,-9.973,0.05,0.0,0.324,0.751,173.854
310,0.351,1,-3.71,0.0759,0.0,0.0988,0.239,148.03
311,0.423,1,-15.978,0.0414,0.000242,0.246,0.37,143.346
312,0.588,6,-7.823,0.0351,3.94e-05,0.293,0.579,131.197
313,0.527,10,-1.869,0.035,8.63e-06,0.129,0.847,150.04
314,0.489,5,-8.367,0.0352,0.185,0.287,0.15,117.292
315,0.597,5,-12.062,0.0315,0.00106,0.102,0.823,135.68
316,0.48,0,-6.663,0.23,0.000685,0.0814,0.335,109.756
317,0.654,4,-5.323,0.0441,2.81e-06,0.0491,0.757,102.743
318,0.368,9,-8.369,0.0593,0.00111,0.301,0.532,141.175
319,0.651,9,-8.22,0.0316,0.026,0.136,0.49,113.038
320,0.598,0,-9.211,0.0279,0.225,0.112,0.805,114.169
321,0.778,5,-3.958,0.117,0.0215,0.227,0.918,143.025
322,0.462,2,-6.548,0.0355,6.97e-05,0.125,0.863,75.541
323,0.731,9,-8.125,0.0377,0.0,0.214,0.958,117.656
324,0.635,1,-2.157,0.0867,0.0,0.0901,0.347,143.432
325,0.537,0,-11.241,0.0363,0.0,0.132,0.39,113.994
326,0.878,11,-9.875,0.089,0.0461,0.183,0.947,118.881
327,0.443,0,-8.339,0.0322,0.0,0.111,0.41,143.462
328,0.717,2,-11.696,0.14,4.04e-05,0.103,0.884,84.538
329,0.754,5,-8.808,0.0683,0.0153,0.0675,0.835,120.283
330,0.73,8,-5.114,0.0298,0.0,0.0473,0.507,104.948
331,0.589,11,-9.958,0.076,0.0,0.291,0.455,99.298
332,0.621,9,-6.761,0.0817,0.014,0.185,0.595,128.434
333,0.569,9,-16.028,0.0537,3.54e-05,0.478,0.066,103.073
334,0.527,4,-8.708,0.0354,0.155,0.419,0.107,120.722
335,0.768,8,-11.267,0.0338,0.712,0.063,0.963,127.036
336,0.687,5,-19.521,0.0455,0.000219,0.0926,0.488,130.37
337,0.557,4,-10.259,0.0305,0.0,0.161,0.493,96.517
338,0.446,9,-4.228,0.183,0.0514,0.239,0.656,203.034
339,0.498,7,-11.72,0.0985,3.42e-06,0.332,0.466,79.47
340,0.75,4,-8.63,0.0403,3.69e-06,0.118,0.849,111.919
341,0.192,5,-11.667,0.0328,0.000199,0.248,0.391,172.312
342,0.598,7,-7.484,0.0954,1.51e-06,0.0938,0.696,70.469
343,0.615,3,-7.8,0.24,2.37e-05,0.0914,0.53,137.544
344,0.684,2,-12.59,0.0384,7.32e-05,0.118,0.785,115.066
345,0.235,6,0.878,0.107,0.00604,0.172,0.241,152.952
346,0.453,4,-8.855,0.0317,0.00395,0.172,0.702,115.0
347,0.266,4,-9.07,0.0453,0.0,0.0555,0.778,175.514
348,0.389,7,-7.999,0.0332,0.0,0.0828,0.585,171.86
349,0.538,2,-11.882,0.0295,0.309,0.139,0.116,110.181
350,0.697,4,-16.694,0.035,0.00185,0.133,0.693,120.387
351,0.378,5,-6.15,0.106,1.9e-06,0.149,0.324,130.65
352,0.546,3,-10.663,0.048,1.03e-06,0.0721,0.584,168.354
353,0.57,0,-5.468,0.0445,0.00124,0.386,0.91,73.786
354,0.739,11,-9.829,0.0622,0.725,0.04,0.794,98.004
355,0.677,11,-8.147,0.0389,1.04e-05,0.0295,0.705,114.921
356,0.708,4,-7.768,0.0344,0.643,0.121,0.463,123.602
357,0.4,8,-5.696,0.0344,0.513,0.338,0.731,127.09
358,0.54,4,-8.234,0.029,7.91e-06,0.122,0.788,121.125
359,0.487,5,-12.005,0.0427,0.347,0.0973,0.579,135.516
360,0.625,2,-8.894,0.0273,0.0,0.331,0.94,105.22
361,0.4,5,-5.741,0.109,0.000269,0.0914,0.824,173.506
362,0.629,10,-13.123,0.055,0.00314,0.0604,0.197,108.375
363,0.779,3,-3.704,0.0457,7.98e-06,0.197,0.915,138.858
364,0.481,7,-15.73,0.0414,0.0114,0.832,0.375,122.883
365,0.32,6,-5.789,0.126,0.192,0.0984,0.49,166.524
366,0.307,11,-11.8,0.031,0.000577,0.113,0.184,173.728
367,0.613,2,-8.618,0.133,0.0,0.332,0.476,122.746
368,0.594,2,-7.812,0.0957,8.55e-06,0.0879,0.253,128.942
369,0.774,5,-4.446,0.0358,0.00317,0.08,0.724,120.002
370,0.429,4,-7.539,0.044,0.0,0.538,0.398,77.737
371,0.319,8,-9.742,0.0535,0.000414,0.294,0.773,78.114
372,0.69,2,-4.583,0.264,0.000709,0.355,0.0701,171.367
373,0.83,11,-5.564,0.264,0.00017,0.0743,0.631,125.972
374,0.532,11,-5.153,0.0818,0.449,0.14,0.376,141.513
375,0.316,2,-3.491,0.0708,0.0,0.37,0.723,145.559
376,0.428,2,-7.726,0.0389,2.9e-06,0.474,0.425,124.062
377,0.537,5,-5.597,0.0286,0.00568,0.08,0.704,159.871
378,0.688,7,-6.658,0.0377,0.0,0.068,0.924,120.135
379,0.562,4,-13.165,0.0524,0.0,0.115,0.735,90.279
380,0.506,3,-9.765,0.0404,0.782,0.298,0.745,112.511
381,0.746,9,-5.324,0.0978,4.11e-05,0.026,0.653,153.809
382,0.721,0,-11.195,0.0532,0.00153,0.0973,0.2,129.83
383,0.372,5,-9.618,0.0461,0.0414,0.132,0.163,140.218
384,0.646,1,-5.572,0.342,0.0,0.0762,0.625,92.88
385,0.805,10,-11.304,0.0481,0.331,0.0808,0.975,146.933
386,0.396,0,-10.872,0.0304,2.62e-06,0.138,0.377,133.522
387,0.664,7,-11.766,0.0279,0.000327,0.401,0.625,104.57
388,0.805,0,-9.7,0.0579,0.000122,0.0581,0.744,94.382
389,0.675,9,-11.959,0.0525,0.000261,0.102,0.638,97.159
390,0.575,6,-4.791,0.151,0.00134,0.164,0.414,115.77
391,0.438,2,-12.412,0.0919,0.537,0.221,0.53,145.928
392,0.806,0,-5.269,0.0752,0.891,0.267,0.892,111.215
393,0.484,9,-20.487,0.0514,4.74e-06,0.163,0.618,120.778
