,Song,Artist,ID,Link,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature
1766,Fourth of July,Sufjan Stevens,4K3RZJ8sWPbv0IedcnEfw6,https://open.spotify.com/track/4K3RZJ8sWPbv0IedcnEfw6,0.441,0.104,6,-22.399,0,0.0459,0.354,0.119,0.156,120.266,279316,4
1767,Un Poco Loco - Rudy Van Gelder Edition / Remastered 1998,Bud Powell,5SocjOFFwNyWGLwAzPfLFh,https://open.spotify.com/track/5SocjOFFwNyWGLwAzPfLFh,0.429,0.7,7,-9.117,1,0.0457,0.0434,0.194,0.759,85.853,286387,4
1768,Echo Beach - 2002 Remastered Version,Various Artists,2b2ZqpKsnB6HDfAP1Foh9G,https://open.spotify.com/track/2b2ZqpKsnB6HDfAP1Foh9G,0.526,0.669,7,-10.552,1,0.0337,1.8e-05,0.0569,0.86,163.537,216800,4
1769,Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,1,-5.115,0,0.0504,0.000113,0.0717,0.754,79.028,163253,4
1770,Connected,Stereo MC's,5tXWXbZC2wCvXBzlxu0ZQ6,https://open.spotify.com/track/5tXWXbZC2wCvXBzlxu0ZQ6,0.657,0.824,1,-10.735,0,0.0355,0.00138,0.31,0.69,100.647,315427,4
1771,Wabash Cannonball,Roy Acuff,5RKPe1oN9lGayUCKn00fYi,https://open.spotify.com/track/5RKPe1oN9lGayUCKn00fYi,0.717,0.37,9,-10.119,1,0.0365,0.0,0.424,0.881,99.425,155388,4
1772,I'm Only Sleeping - Remastered,The Beatles,3wAOX1N5M0ta3QNsokmhJV,https://open.spotify.com/track/3wAOX1N5M0ta3QNsokmhJV,0.494,0.47,8,-9.599,0,0.0301,0.0,0.28,0.698,103.477,180320,4
1773,Who Are You,The Who,3x2bXiU0o4WbsPkawXlfDA,https://open.spotify.com/track/3x2bXiU0o4WbsPkawXlfDA,0.651,0.661,9,-11.405,1,0.0511,0.00313,0.106,0.489,156.371,378707,4
1774,Bus Stop,The Hollies,5puwriABoYtww2C89txaCc,https://open.spotify.com/track/5puwriABoYtww2C89txaCc,0.601,0.698,4,-8.708,0,0.0313,0.0,0.0893,0.787,136.263,174640,4
1775,Highway 61 Revisited,Bob Dylan,6os5B6xjuke9YfBKH3tu1e,https://open.spotify.com/track/6os5B6xjuke9YfBKH3tu1e,0.49,0.808,10,-6.725,1,0.0409,0.0,0.232,0.604,73.434,205827,4
1776,(Just Like) Starting Over - Remastered 2010,John Lennon,3zx23Q4bcTPOHzrQLMKjsj,https://open.spotify.com/track/3zx23Q4bcTPOHzrQLMKjsj,0.681,0.709,9,-8.542,1,0.0878,5.45e-05,0.308,0.412,99.14,238000,4
1777,All Mirrors,Angel Olsen,5Zcry3zaBmgJrtQ78XEJQf,https://open.spotify.com/track/5Zcry3zaBmgJrtQ78XEJQf,0.433,0.688,7,-7.378,0,0.0376,0.00195,0.153,0.232,105.018,282027,4
1778,Addicted To Love,Robert Palmer,6ZKlm17z22OxkzgemE4aos,https://open.spotify.com/track/6ZKlm17z22OxkzgemE4aos,0.703,0.579,2,-12.786,1,0.0308,7.07e-06,0.117,0.973,111.583,359816,4
1779,Don't Let Me Down - Remastered,The Beatles,6eexkuQmvCxCJmtf9dQSHZ,https://open.spotify.com/track/6eexkuQmvCxCJmtf9dQSHZ,0.592,0.295,4,-10.534,1,0.0261,0.00071,0.109,0.734,76.066,215613,4
1780,The Fear,Lily Allen,4UJt3Ipg45AqLdaSvejmNg,https://open.spotify.com/track/4UJt3Ipg45AqLdaSvejmNg,0.656,0.823,10,-6.971,1,0.0411,7.16e-05,0.118,0.495,134.005,206154,4
1781,Country House - 2012 Remaster,Blur,6L4fEE9awoUnSEy1bmQebb,https://open.spotify.com/track/6L4fEE9awoUnSEy1bmQebb,0.331,0.885,9,-6.606,1,0.0923,0.0,0.123,0.589,175.293,236960,4
1782,By The Time I Get To Phoenix - Remastered 2001,Glen Campbell,1tZKsxgKebVQX9s6oiojG9,https://open.spotify.com/track/1tZKsxgKebVQX9s6oiojG9,0.218,0.336,5,-12.997,1,0.0301,1.61e-06,0.134,0.232,176.66,164200,4
1783,This Is a Low - 2012 Remaster,Blur,1Ce0LuCifEoGTnf9MbXQbo,https://open.spotify.com/track/1Ce0LuCifEoGTnf9MbXQbo,0.271,0.5,9,-8.661,1,0.0325,0.00156,0.111,0.32,170.06,316907,4
1784,Reckoner,Radiohead,56Z7hbyMrndw1naxb6I5Oi,https://open.spotify.com/track/56Z7hbyMrndw1naxb6I5Oi,0.518,0.656,4,-7.438,0,0.0264,0.156,0.0679,0.203,104.282,290213,4
1785,Wake up Everybody (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,763jJ8T1utfvNqz1WRDzx4,https://open.spotify.com/track/763jJ8T1utfvNqz1WRDzx4,0.497,0.545,6,-12.163,1,0.0776,0.0,0.186,0.644,97.011,451400,4
1786,Mirror in the Bathroom,The Beat,2JV6DM5CGcpThMVZtucCqC,https://open.spotify.com/track/2JV6DM5CGcpThMVZtucCqC,0.633,0.637,7,-10.431,1,0.0464,0.0278,0.035,0.941,171.853,189667,4
1787,Devil Got My Woman,Skip James,6Ym6k8hxEi5ytfLwbMHW0T,https://open.spotify.com/track/6Ym6k8hxEi5ytfLwbMHW0T,0.471,0.223,4,-14.155,0,0.0322,0.0107,0.127,0.29,84.888,181238,4
1788,Pumped up Kicks,Foster The People,6qj3fVJJ2PcRxpSG7lDPZ5,https://open.spotify.com/track/6qj3fVJJ2PcRxpSG7lDPZ5,0.733,0.71,5,-5.849,0,0.0292,0.115,0.0956,0.965,127.975,239600,4
1789,I'll Never Get Out of This World Alive,Hank Williams,5syXCD4rdjQabLGlbdrKxm,https://open.spotify.com/track/5syXCD4rdjQabLGlbdrKxm,0.848,0.178,7,-12.749,1,0.081,0.0,0.0688,0.769,116.702,146541,4
1790,Eve Of Destruction,Barry McGuire,1Zi2ezNOqt9y9irC11xYpN,https://open.spotify.com/track/1Zi2ezNOqt9y9irC11xYpN,0.613,0.307,2,-17.385,1,0.0414,4.52e-06,0.087,0.789,117.305,215827,4
