,Song,Artist,ID,Link,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature
80,Pick Me Up,Gabby Barrett,7xNYZeFtrB05pi9tc6lEeb,https://open.spotify.com/track/7xNYZeFtrB05pi9tc6lEeb,0.472,0.701,2,-4.563,1,0.0369,0.0,0.107,0.515,79.805,169440,4
81,She Likes It (feat. Jake Scott),Russell Dickerson,6VVqPBFZIbcmv14zNfOc13,https://open.spotify.com/track/6VVqPBFZIbcmv14zNfOc13,0.79,0.325,4,-11.689,1,0.127,0.0,0.155,0.539,126.877,163311,4
82,Hold Your Own,YoungBoy Never Broke Again,2rkTDJLlnCgZuHB8uLc5Fp,https://open.spotify.com/track/2rkTDJLlnCgZuHB8uLc5Fp,0.607,0.837,10,-4.631,0,0.343,0.0,0.169,0.604,81.486,187393,4
83,Ghost Story,Carrie Underwood,2FGOg7uYBfnspkPOISXTFY,https://open.spotify.com/track/2FGOg7uYBfnspkPOISXTFY,0.479,0.742,7,-5.587,1,0.0539,0.000834,0.278,0.454,142.909,181400,3
84,PUFFIN ON ZOOTIEZ,Future,1qMMYpVatbRITKCfq1gasi,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi,0.883,0.657,8,-5.748,1,0.305,0.0,0.128,0.284,124.992,172933,4
85,Top Sound,YoungBoy Never Broke Again,3FAg7hVsWegbvPVRNM0rYm,https://open.spotify.com/track/3FAg7hVsWegbvPVRNM0rYm,0.733,0.727,5,-6.415,1,0.268,0.000499,0.254,0.48,171.038,101053,4
86,Never Sleep (with Lil Baby feat. Travis Scott),NAV,3GdWfmQBiiJrDUvSZS1bGv,https://open.spotify.com/track/3GdWfmQBiiJrDUvSZS1bGv,0.819,0.651,1,-5.829,1,0.169,0.0,0.122,0.501,139.957,185786,4
87,Kamikaze,YoungBoy Never Broke Again,1p0BcIePXAd65ouic9XrLT,https://open.spotify.com/track/1p0BcIePXAd65ouic9XrLT,0.718,0.798,10,-5.433,0,0.352,0.0,0.135,0.786,168.079,200000,4
88,HOTEL LOBBY (Unc & Phew),Quavo,0QNNd0qMCDbraS1nQPg3aA,https://open.spotify.com/track/0QNNd0qMCDbraS1nQPg3aA,0.821,0.636,11,-4.479,1,0.169,0.0,0.233,0.163,127.961,142657,4
89,My Time,YoungBoy Never Broke Again,6EHrcQZt9a73mLeRggVRht,https://open.spotify.com/track/6EHrcQZt9a73mLeRggVRht,0.645,0.623,10,-7.225,0,0.255,0.0,0.111,0.586,90.636,158242,4
90,Thought You Should Know,Morgan Wallen,6NHpyYvJyQsg2nXXzGYc2R,https://open.spotify.com/track/6NHpyYvJyQsg2nXXzGYc2R,0.529,0.695,6,-6.174,1,0.0278,1.24e-05,0.142,0.514,139.993,215572,4
91,I'M THAT GIRL,Beyoncé,1MpCaOeUWhox2Fgigbe1cL,https://open.spotify.com/track/1MpCaOeUWhox2Fgigbe1cL,0.554,0.535,5,-8.959,0,0.186,1.32e-05,0.124,0.136,105.865,208014,4
92,COZY,Beyoncé,0mKGwFMHzTprtS2vpR3b6s,https://open.spotify.com/track/0mKGwFMHzTprtS2vpR3b6s,0.556,0.63,7,-8.15,1,0.102,0.00468,0.155,0.367,149.147,210372,5
93,Un Ratito,Bad Bunny,5CzixCxDkRXX9mScCmah8O,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O,0.787,0.546,0,-7.094,0,0.0532,4.55e-05,0.122,0.222,93.05,176936,4
94,La Corriente,Bad Bunny,1797zYiX4cKosMH836X9Gt,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt,0.663,0.786,11,-3.51,0,0.195,0.0,0.219,0.579,196.12,198367,4
95,Big 14 (feat. Offset & Moneybagg Yo),Trippie Redd,7rQ84WsT2Wcnrz5gTmbGmw,https://open.spotify.com/track/7rQ84WsT2Wcnrz5gTmbGmw,0.71,0.828,1,-4.725,1,0.0726,0.0,0.168,0.316,128.027,247458,4
96,Until I Found You,Stephen Sanchez,0T5iIrXA4p5GsubkhuBIKV,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,10,-6.05,1,0.0288,0.0,0.174,0.227,101.358,177720,3
97,DESPECHÁ,ROSALÍA,5ildQOEKmJuWGl2vRkFdYc,https://open.spotify.com/track/5ildQOEKmJuWGl2vRkFdYc,0.919,0.623,7,-6.521,1,0.0992,1.63e-05,0.0609,0.775,130.037,157018,4
98,Love Me More,Sam Smith,16MQETUgqXwY4lZcyRafU3,https://open.spotify.com/track/16MQETUgqXwY4lZcyRafU3,0.791,0.439,10,-5.62,1,0.0645,1.85e-05,0.126,0.559,85.004,190659,4
99,7 Days,YoungBoy Never Broke Again,0WBx5ynHLEFv5RFgxKTvIN,https://open.spotify.com/track/0WBx5ynHLEFv5RFgxKTvIN,0.556,0.808,1,-5.391,0,0.428,0.0,0.196,0.788,109.168,175610,5
